Date_and_time_of_unloading,Product_code,Amount,Sale_amount,Discount_amount,Profit,Percentage_markup,Discount_percentage
2020-01-01 23:00:00,1595,2.0,512.79,247.21,100.79,24.46,32.53
2020-01-01 23:00:00,1604,1.0,798.94,201.06,203.94,34.28,20.11
2020-01-01 23:00:00,1676,2.0,540.0,60.0,265.0,96.36,10.0
2020-01-01 23:00:00,1683,0.25,191.11,48.89,75.25,64.95,20.37
2020-01-01 23:00:00,1709,3.0,1200.0,,597.0,99.0,
2020-01-01 23:00:00,1712,1.0,455.0,245.0,77.0,20.37,35.0
2020-01-01 23:00:00,1726,1.0,331.79,18.21,138.79,71.91,5.2
2020-01-01 23:00:00,1746,1.0,160.0,20.0,66.19,70.56,11.11
2020-01-01 23:00:00,1747,2.0,504.0,56.0,200.74,66.19,10.0
2020-01-01 23:00:00,1754,1.0,292.36,157.64,47.31,19.31,35.03
2020-01-01 23:00:00,1773,1.0,259.87,140.13,46.87,22.0,35.03
2020-01-01 23:00:00,1775,0.25,189.47,50.53,56.42,42.41,21.05
2020-01-01 23:00:00,1780,1.0,350.0,,173.0,97.74,
2020-01-01 23:00:00,1786,0.5,405.0,75.0,138.9,52.2,15.63
2020-01-01 23:00:00,1794,1.0,314.82,135.18,64.82,25.93,30.04
2020-01-01 23:00:00,1796,1.0,292.5,157.5,39.5,15.61,35.0
2020-01-01 23:00:00,1798,1.0,500.5,269.5,58.5,13.24,35.0
2020-01-01 23:00:00,1803,3.0,824.95,15.05,419.95,103.69,1.79
2020-01-01 23:00:00,1804,1.0,280.0,,145.0,107.41,
2020-01-01 23:00:00,1806,1.0,195.89,84.11,60.89,45.1,30.04
2020-01-01 23:00:00,1807,4.0,838.07,281.93,318.07,61.17,25.17
2020-01-02 01:00:00,144,2.0,500.0,60.0,250.0,100.0,10.71
2020-01-02 01:00:00,247,1.0,580.0,,247.0,74.17,
2020-01-02 01:00:00,283,1.0,295.0,35.0,134.0,83.23,10.61
2020-01-02 01:00:00,298,1.0,160.0,20.0,70.32,78.41,11.11
2020-01-02 01:00:00,299,1.0,125.0,55.0,35.32,39.38,30.56
2020-01-02 01:00:00,364,2.0,629.9,70.1,359.9,133.3,10.01
2020-01-02 01:00:00,380,1.0,300.0,,150.0,100.0,
2020-01-02 01:00:00,457,3.0,956.2,33.8,419.2,78.06,3.41
2020-01-02 01:00:00,479,1.0,270.0,30.0,120.14,80.17,10.0
2020-01-02 01:00:00,481,1.0,300.0,,161.94,117.3,
2020-01-02 01:00:00,495,0.5,251.5,108.5,31.5,14.32,30.14
2020-01-02 01:00:00,519,1.0,200.0,,200.0,,
2020-01-02 01:00:00,564,0.25,120.0,,63.95,114.09,
2020-01-02 01:00:00,566,4.0,835.0,45.0,384.24,85.24,5.11
2020-01-02 01:00:00,653,5.0,1385.0,115.0,645.0,87.16,7.67
2020-01-02 01:00:00,816,1.0,315.0,35.0,148.0,88.62,10.0
2020-01-02 01:00:00,839,1.0,195.0,25.0,51.0,35.42,11.36
2020-01-02 01:00:00,898,1.0,279.9,70.1,279.9,,20.03
2020-01-02 01:00:00,1030,1.0,159.94,40.06,61.94,63.2,20.03
2020-01-02 01:00:00,1032,5.0,927.18,72.82,377.18,68.58,7.28
2020-01-02 01:00:00,1145,0.5,230.0,30.0,105.0,84.0,11.54
2020-01-02 01:00:00,1205,0.75,392.0,28.0,247.83,171.9,6.67
2020-01-02 01:00:00,1213,0.25,169.84,10.16,91.09,115.67,5.64
2020-01-02 01:00:00,1326,0.25,140.0,40.0,53.75,62.32,22.22
2020-01-02 01:00:00,1362,0.55,600.0,60.0,220.5,58.1,9.09
2020-01-02 01:00:00,1434,3.75,1491.16,168.84,786.16,111.51,10.17
2020-01-02 01:00:00,1450,0.5,414.21,25.79,189.21,84.09,5.86
2020-01-02 01:00:00,1561,0.5,250.0,30.0,133.35,114.32,10.71
2020-01-02 01:00:00,1594,3.0,1739.28,60.72,929.28,114.73,3.37
2020-01-02 01:00:00,1726,2.0,628.16,71.84,242.16,62.74,10.26
2020-01-02 01:00:00,1733,1.75,950.0,30.0,613.12,182.0,3.06
2020-01-02 01:00:00,1745,1.0,180.0,,105.07,140.22,
2020-01-02 01:00:00,1757,1.0,265.47,114.53,66.38,33.34,30.14
2020-01-02 01:00:00,1772,0.5,329.63,110.37,99.01,42.93,25.08
2020-01-02 01:00:00,1775,1.5,1125.12,314.88,326.82,40.94,21.87
2020-01-02 01:00:00,1779,1.25,879.7,220.3,303.14,52.58,20.03
2020-01-02 01:00:00,1781,0.75,590.0,70.0,244.07,70.55,10.61
2020-01-02 01:00:00,1782,0.5,400.0,,197.78,97.8,
2020-01-02 01:00:00,1784,1.25,855.57,244.43,279.01,48.39,22.22
2020-01-02 01:00:00,1786,4.0,3109.19,730.81,980.39,46.05,19.03
2020-01-02 01:00:00,1797,2.0,700.0,240.0,156.0,28.68,25.53
2020-01-02 01:00:00,1798,1.0,690.0,80.0,248.0,56.11,10.39
2020-01-02 01:00:00,1807,4.0,971.05,148.95,451.05,86.74,13.3
2020-01-03 01:00:00,99,1.0,317.95,82.05,52.95,19.98,20.51
2020-01-03 01:00:00,129,8.0,2518.76,281.24,1086.76,75.89,10.04
2020-01-03 01:00:00,140,1.0,224.21,25.79,99.21,79.37,10.32
2020-01-03 01:00:00,141,1.0,333.0,37.0,118.0,54.88,10.0
2020-01-03 01:00:00,144,1.0,252.0,28.0,127.0,101.6,10.0
2020-01-03 01:00:00,159,1.0,405.0,45.0,161.0,65.98,10.0
2020-01-03 01:00:00,213,1.0,520.0,130.0,214.0,69.93,20.0
2020-01-03 01:00:00,257,1.0,330.0,,177.0,115.69,
2020-01-03 01:00:00,270,3.0,957.56,152.44,264.56,38.18,13.73
2020-01-03 01:00:00,285,3.0,920.0,190.0,209.2,29.43,17.12
2020-01-03 01:00:00,296,5.0,882.0,18.0,412.95,88.04,2.0
2020-01-03 01:00:00,298,7.0,1260.0,,632.24,100.71,
2020-01-03 01:00:00,299,3.0,520.0,20.0,250.96,93.28,3.7
2020-01-03 01:00:00,364,4.0,1188.44,211.56,648.44,120.08,15.11
2020-01-03 01:00:00,380,1.0,300.0,,150.0,100.0,
2020-01-03 01:00:00,472,1.0,240.0,60.0,94.86,65.36,20.0
2020-01-03 01:00:00,474,1.0,280.0,70.0,93.56,50.18,20.0
2020-01-03 01:00:00,476,2.0,540.0,60.0,235.56,77.37,10.0
2020-01-03 01:00:00,479,1.0,270.0,30.0,120.14,80.17,10.0
2020-01-03 01:00:00,481,6.0,1470.0,330.0,641.64,77.46,18.33
2020-01-03 01:00:00,490,6.75,4934.4,195.6,2736.06,124.46,3.81
2020-01-03 01:00:00,495,8.25,5342.22,597.78,1712.22,47.17,10.06
2020-01-03 01:00:00,519,2.0,379.17,20.83,379.17,,5.21
2020-01-03 01:00:00,564,4.0,1865.0,55.0,968.2,107.96,2.86
2020-01-03 01:00:00,565,1.0,198.0,22.0,77.05,63.7,10.0
2020-01-03 01:00:00,566,3.0,660.0,,321.93,95.23,
2020-01-03 01:00:00,591,2.0,284.37,15.63,179.37,170.83,5.21
2020-01-03 01:00:00,646,6.0,1508.5,171.5,653.5,76.43,10.21
2020-01-03 01:00:00,653,1.0,300.0,,152.0,102.7,
2020-01-03 01:00:00,661,1.0,295.0,75.0,108.0,57.75,20.27
2020-01-03 01:00:00,663,1.0,295.0,75.0,108.0,57.75,20.27
2020-01-03 01:00:00,688,1.0,243.0,27.0,120.28,98.01,10.0
2020-01-03 01:00:00,706,6.0,960.0,,439.62,84.48,
2020-01-03 01:00:00,717,5.0,1225.0,25.0,1225.0,,2.0
2020-01-03 01:00:00,817,1.0,187.17,22.83,87.17,87.17,10.87
2020-01-03 01:00:00,836,1.0,250.0,,135.0,117.39,
2020-01-03 01:00:00,843,1.0,198.0,22.0,73.0,58.4,10.0
2020-01-03 01:00:00,899,2.0,594.3,105.7,594.3,,15.1
2020-01-03 01:00:00,965,1.0,225.0,25.0,110.0,95.65,10.0
2020-01-03 01:00:00,1019,2.75,1900.0,80.0,1033.75,119.34,4.04
2020-01-03 01:00:00,1030,1.0,159.89,40.11,61.89,63.15,20.06
2020-01-03 01:00:00,1032,4.0,658.15,141.85,218.15,49.58,17.73
2020-01-03 01:00:00,1071,1.0,420.0,,184.0,77.97,
2020-01-03 01:00:00,1145,3.75,1588.08,361.92,650.58,69.4,18.56
2020-01-03 01:00:00,1192,1.0,585.0,65.0,175.0,42.68,10.0
2020-01-03 01:00:00,1205,5.25,2616.53,323.47,1607.33,159.27,11.0
2020-01-03 01:00:00,1213,4.0,2535.0,345.0,1275.0,101.19,11.98
2020-01-03 01:00:00,1238,3.0,672.83,77.17,327.83,95.02,10.29
2020-01-03 01:00:00,1250,1.0,270.0,,152.0,128.81,
2020-01-03 01:00:00,1326,2.25,1409.34,210.66,633.09,81.56,13.0
2020-01-03 01:00:00,1392,1.0,405.0,45.0,150.0,58.82,10.0
2020-01-03 01:00:00,1394,1.0,340.79,39.21,127.79,60.0,10.32
2020-01-03 01:00:00,1434,3.75,1459.12,220.88,754.12,106.97,13.15
2020-01-03 01:00:00,1450,0.25,195.0,25.0,82.5,73.33,11.36
2020-01-03 01:00:00,1468,6.0,1200.0,120.0,228.0,23.46,9.09
2020-01-03 01:00:00,1470,1.0,239.61,60.39,77.61,47.91,20.13
2020-01-03 01:00:00,1494,1.0,260.0,,125.0,92.59,
2020-01-03 01:00:00,1498,1.0,189.0,21.0,89.0,89.0,10.0
2020-01-03 01:00:00,1509,1.0,222.5,57.5,95.83,75.65,20.54
2020-01-03 01:00:00,1561,0.25,110.0,30.0,51.67,88.58,21.43
2020-01-03 01:00:00,1562,1.0,295.0,55.0,95.0,47.5,15.71
2020-01-03 01:00:00,1565,1.0,450.0,50.0,191.0,73.75,10.0
2020-01-03 01:00:00,1581,1.0,560.0,140.0,153.39,37.72,20.0
2020-01-03 01:00:00,1588,1.0,260.0,70.0,95.0,57.58,21.21
2020-01-03 01:00:00,1590,3.0,965.0,115.0,377.0,64.12,10.65
2020-01-03 01:00:00,1594,1.25,705.0,45.0,367.5,108.89,6.0
2020-01-03 01:00:00,1620,1.0,280.0,,140.0,100.0,
2020-01-03 01:00:00,1640,1.0,300.0,,175.0,140.0,
2020-01-03 01:00:00,1661,1.0,334.86,85.14,114.86,52.21,20.27
2020-01-03 01:00:00,1701,1.0,390.0,,165.0,73.33,
2020-01-03 01:00:00,1718,1.0,255.14,64.86,95.14,59.46,20.27
2020-01-03 01:00:00,1733,2.0,960.73,159.27,575.74,149.55,14.22
2020-01-03 01:00:00,1746,9.0,1502.83,117.17,658.54,78.0,7.23
2020-01-03 01:00:00,1747,3.0,750.0,90.0,295.11,64.88,10.71
2020-01-03 01:00:00,1757,3.0,908.87,231.13,311.6,52.17,20.27
2020-01-03 01:00:00,1772,1.0,835.0,45.0,373.75,81.03,5.11
2020-01-03 01:00:00,1775,0.75,670.0,50.0,270.85,67.86,6.94
2020-01-03 01:00:00,1776,4.0,1116.73,203.27,500.73,81.29,15.4
2020-01-03 01:00:00,1779,2.5,1800.29,399.71,647.16,56.12,18.17
2020-01-03 01:00:00,1781,1.25,1050.0,50.0,473.43,82.11,4.55
2020-01-03 01:00:00,1782,0.75,600.0,,296.66,97.8,
2020-01-03 01:00:00,1783,2.0,592.94,107.06,238.94,67.5,15.29
2020-01-03 01:00:00,1784,0.75,635.0,25.0,289.06,83.56,3.79
2020-01-03 01:00:00,1786,1.0,911.53,48.47,379.33,71.28,5.05
2020-01-03 01:00:00,1789,1.0,810.0,70.0,348.75,75.61,7.95
2020-01-03 01:00:00,1797,2.0,703.55,236.45,159.55,29.33,25.15
2020-01-03 01:00:00,1803,1.0,250.0,30.0,115.0,85.19,10.71
2020-01-03 01:00:00,1805,1.0,250.0,30.0,115.0,85.19,10.71
2020-01-03 01:00:00,1806,2.0,446.74,113.26,176.74,65.46,20.23
2020-01-03 01:00:00,1807,4.0,886.9,233.1,366.9,70.56,20.81
2020-01-04 16:00:00,140,3.0,697.67,52.33,322.67,86.05,6.98
2020-01-04 16:00:00,141,1.0,370.0,,155.0,72.09,
2020-01-04 16:00:00,142,5.0,1370.0,30.0,660.0,92.96,2.14
2020-01-04 16:00:00,144,5.0,1157.56,172.44,532.56,85.21,12.97
2020-01-04 16:00:00,216,3.0,640.0,50.0,316.0,97.53,7.25
2020-01-04 16:00:00,238,4.0,1053.72,266.28,353.72,50.53,20.17
2020-01-04 16:00:00,257,4.0,1250.0,70.0,638.0,104.25,5.3
2020-01-04 16:00:00,271,1.0,398.44,101.56,127.44,47.03,20.31
2020-01-04 16:00:00,282,1.0,470.0,,299.0,174.85,
2020-01-04 16:00:00,298,3.0,539.6,0.4,270.56,100.56,0.07
2020-01-04 16:00:00,356,3.0,840.0,60.0,610.5,266.01,6.67
2020-01-04 16:00:00,364,4.0,1137.47,262.53,597.47,110.64,18.75
2020-01-04 16:00:00,380,5.0,1348.47,151.53,598.47,79.8,10.1
2020-01-04 16:00:00,381,2.0,570.0,30.0,364.0,176.7,5.0
2020-01-04 16:00:00,386,2.0,624.84,115.16,214.84,52.4,15.56
2020-01-04 16:00:00,464,5.0,1280.0,120.0,630.0,96.92,8.57
2020-01-04 16:00:00,472,1.0,300.0,,154.86,106.7,
2020-01-04 16:00:00,474,2.0,627.7,72.3,254.82,68.34,10.33
2020-01-04 16:00:00,476,3.0,810.0,90.0,353.34,77.37,10.0
2020-01-04 16:00:00,479,2.0,600.0,,300.28,100.19,
2020-01-04 16:00:00,481,17.0,4839.32,260.68,2492.3,106.19,5.11
2020-01-04 16:00:00,490,3.75,2712.52,137.48,1491.22,122.1,4.82
2020-01-04 16:00:00,495,8.0,5184.39,575.61,1664.39,47.28,9.99
2020-01-04 16:00:00,530,1.0,205.0,25.0,97.0,89.81,10.87
2020-01-04 16:00:00,564,7.25,3265.15,214.85,1639.7,100.88,6.17
2020-01-04 16:00:00,566,4.0,788.0,92.0,337.24,74.82,10.45
2020-01-04 16:00:00,581,1.0,550.0,,266.5,94.0,
2020-01-04 16:00:00,591,4.0,419.97,180.03,209.97,99.99,30.01
2020-01-04 16:00:00,616,1.0,326.72,83.28,82.72,33.9,20.31
2020-01-04 16:00:00,643,1.0,225.0,25.0,78.0,53.06,10.0
2020-01-04 16:00:00,645,1.0,230.0,30.0,90.0,64.29,11.54
2020-01-04 16:00:00,646,3.0,750.0,90.0,315.0,72.41,10.71
2020-01-04 16:00:00,653,6.0,1800.0,,912.0,102.7,
2020-01-04 16:00:00,687,2.0,400.0,,230.08,135.4,
2020-01-04 16:00:00,688,1.0,270.0,,147.28,120.01,
2020-01-04 16:00:00,706,5.0,766.32,33.68,332.67,76.71,4.21
2020-01-04 16:00:00,717,2.0,448.53,51.47,448.53,,10.29
2020-01-04 16:00:00,783,1.0,250.0,,125.0,100.0,
2020-01-04 16:00:00,816,2.0,560.0,140.0,226.0,67.66,20.0
2020-01-04 16:00:00,840,1.0,250.0,,58.0,30.21,
2020-01-04 16:00:00,888,1.0,1100.0,,-50.0,-4.35,
2020-01-04 16:00:00,899,1.0,315.0,35.0,315.0,,10.0
2020-01-04 16:00:00,965,3.0,629.68,70.32,284.68,82.52,10.05
2020-01-04 16:00:00,1019,5.5,3828.24,131.76,2095.74,120.97,3.33
2020-01-04 16:00:00,1030,4.0,720.0,80.0,328.0,83.67,10.0
2020-01-04 16:00:00,1032,7.0,1138.29,261.71,368.29,47.83,18.69
2020-01-04 16:00:00,1057,4.0,1053.72,266.28,429.72,68.87,20.17
2020-01-04 16:00:00,1136,5.0,1184.5,65.5,497.0,72.29,5.24
2020-01-04 16:00:00,1145,7.75,3695.72,334.28,1758.22,90.75,8.29
2020-01-04 16:00:00,1205,4.5,2459.57,60.43,1594.53,184.33,2.4
2020-01-04 16:00:00,1213,2.0,1401.25,38.75,771.25,122.42,2.69
2020-01-04 16:00:00,1217,3.0,521.76,18.24,279.27,115.17,3.38
2020-01-04 16:00:00,1238,1.0,250.0,31.0,135.0,117.39,11.03
2020-01-04 16:00:00,1326,1.25,864.0,36.0,432.75,100.35,4.0
2020-01-04 16:00:00,1390,1.0,310.0,170.0,31.0,11.11,35.42
2020-01-04 16:00:00,1394,1.0,303.6,76.4,90.6,42.54,20.11
2020-01-04 16:00:00,1434,7.5,3047.39,212.61,1637.39,116.13,6.52
2020-01-04 16:00:00,1460,1.0,350.0,,165.0,89.19,
2020-01-04 16:00:00,1471,3.0,830.0,130.0,344.0,70.78,13.54
2020-01-04 16:00:00,1494,1.0,232.3,27.7,97.3,72.07,10.65
2020-01-04 16:00:00,1498,1.0,185.0,25.0,85.0,85.0,11.9
2020-01-04 16:00:00,1501,1.0,700.0,,385.0,122.22,
2020-01-04 16:00:00,1509,2.0,500.38,59.62,247.04,97.51,10.65
2020-01-04 16:00:00,1511,1.0,300.0,,150.0,100.0,
2020-01-04 16:00:00,1517,1.0,600.0,,305.0,103.39,
2020-01-04 16:00:00,1561,3.75,1995.63,104.37,1120.76,128.11,4.97
2020-01-04 16:00:00,1562,1.0,315.0,35.0,115.0,57.5,10.0
2020-01-04 16:00:00,1594,1.75,1018.03,31.97,545.53,115.46,3.04
2020-01-04 16:00:00,1670,1.0,335.56,84.44,123.56,58.28,20.1
2020-01-04 16:00:00,1698,1.0,214.62,25.38,99.62,86.63,10.58
2020-01-04 16:00:00,1726,3.0,1050.0,,471.0,81.35,
2020-01-04 16:00:00,1733,2.25,1118.15,141.85,685.02,158.16,11.26
2020-01-04 16:00:00,1748,1.0,143.16,16.84,77.08,116.65,10.53
2020-01-04 16:00:00,1772,0.75,590.0,70.0,244.06,70.55,10.61
2020-01-04 16:00:00,1773,3.0,539.89,660.11,-99.11,-15.51,55.01
2020-01-04 16:00:00,1775,2.0,1699.56,220.44,635.16,59.67,11.48
2020-01-04 16:00:00,1776,6.0,1367.3,612.7,443.3,47.98,30.94
2020-01-04 16:00:00,1777,3.0,2198.58,201.42,985.23,81.2,8.39
2020-01-04 16:00:00,1778,6.0,1452.41,647.59,390.41,36.76,30.84
2020-01-04 16:00:00,1779,7.5,5713.85,886.15,2254.48,65.17,13.43
2020-01-04 16:00:00,1780,3.0,472.41,577.59,-58.59,-11.03,55.01
2020-01-04 16:00:00,1781,0.75,660.0,,314.06,90.78,
2020-01-04 16:00:00,1782,0.75,600.0,,296.66,97.8,
2020-01-04 16:00:00,1783,4.0,822.41,577.59,114.41,16.16,41.26
2020-01-04 16:00:00,1784,2.0,1715.0,45.0,792.5,85.91,2.56
2020-01-04 16:00:00,1785,1.0,1237.25,1512.75,-414.75,-25.11,55.01
2020-01-04 16:00:00,1786,1.5,1340.59,99.41,542.29,67.93,6.9
2020-01-04 16:00:00,1787,3.0,445.41,544.59,-16.59,-3.59,55.01
2020-01-04 16:00:00,1788,3.0,472.41,577.59,-58.59,-11.03,55.01
2020-01-04 16:00:00,1789,1.25,1055.0,45.0,478.43,82.98,4.09
2020-01-04 16:00:00,1793,1.0,386.13,43.87,143.13,58.9,10.2
2020-01-04 16:00:00,1796,1.0,359.52,90.48,106.52,42.1,20.11
2020-01-04 16:00:00,1797,3.0,1172.39,237.61,356.39,43.68,16.85
2020-01-04 16:00:00,1804,5.0,1400.0,,725.0,107.41,
2020-01-04 16:00:00,1805,1.0,223.55,56.45,88.55,65.59,20.16
2020-01-04 16:00:00,1807,6.0,1379.4,300.6,599.4,76.85,17.89
2020-01-05 16:00:00,131,1.0,270.0,30.0,124.0,84.93,10.0
2020-01-05 16:00:00,132,1.0,315.0,35.0,136.0,75.98,10.0
2020-01-05 16:00:00,138,1.0,315.0,35.0,147.0,87.5,10.0
2020-01-05 16:00:00,141,1.0,333.0,37.0,118.0,54.88,10.0
2020-01-05 16:00:00,142,1.0,280.0,,138.0,97.18,
2020-01-05 16:00:00,144,1.0,280.0,,155.0,124.0,
2020-01-05 16:00:00,177,1.0,1000.0,,432.0,76.06,
2020-01-05 16:00:00,209,1.0,293.62,126.38,58.62,24.94,30.09
2020-01-05 16:00:00,282,1.0,422.53,47.47,251.53,147.09,10.1
2020-01-05 16:00:00,296,5.0,860.0,40.0,390.95,83.35,4.44
2020-01-05 16:00:00,298,1.0,180.0,,90.32,100.71,
2020-01-05 16:00:00,310,7.0,4344.49,695.51,1999.49,85.27,13.8
2020-01-05 16:00:00,356,3.0,839.41,60.59,609.91,265.76,6.73
2020-01-05 16:00:00,364,1.0,314.04,35.96,179.04,132.62,10.27
2020-01-05 16:00:00,380,2.0,600.0,,300.0,100.0,
2020-01-05 16:00:00,381,1.0,285.0,15.0,182.0,176.7,5.0
2020-01-05 16:00:00,464,1.0,223.21,56.79,93.21,71.7,20.28
2020-01-05 16:00:00,474,1.0,350.0,,163.56,87.73,
2020-01-05 16:00:00,483,1.0,488.03,211.97,152.91,45.63,30.28
2020-01-05 16:00:00,490,4.75,3455.42,154.58,1908.44,123.37,4.28
2020-01-05 16:00:00,519,4.0,770.0,30.0,770.0,,3.75
2020-01-05 16:00:00,564,2.25,1011.82,68.18,507.37,100.58,6.31
2020-01-05 16:00:00,566,2.0,394.88,45.12,169.5,75.21,10.25
2020-01-05 16:00:00,581,1.0,384.51,165.49,101.01,35.63,30.09
2020-01-05 16:00:00,591,6.0,870.0,30.0,555.0,176.19,3.33
2020-01-05 16:00:00,601,1.0,250.0,,60.0,31.58,
2020-01-05 16:00:00,615,1.0,300.0,130.0,55.0,22.45,30.23
2020-01-05 16:00:00,646,1.0,280.0,,135.0,93.1,
2020-01-05 16:00:00,653,2.0,480.0,120.0,184.0,62.16,20.0
2020-01-05 16:00:00,688,4.0,916.65,163.35,425.77,86.74,15.13
2020-01-05 16:00:00,706,1.0,142.86,17.14,56.13,64.72,10.71
2020-01-05 16:00:00,843,1.0,220.0,,95.0,76.0,
2020-01-05 16:00:00,888,1.0,1100.0,,-50.0,-4.35,
2020-01-05 16:00:00,899,3.0,1015.0,35.0,1015.0,,3.33
2020-01-05 16:00:00,903,1.0,250.0,30.0,115.0,85.19,10.71
2020-01-05 16:00:00,1032,1.0,200.0,,90.0,81.82,
2020-01-05 16:00:00,1071,1.0,420.0,,184.0,77.97,
2020-01-05 16:00:00,1085,5.25,2246.57,153.43,1242.51,123.75,6.39
2020-01-05 16:00:00,1090,1.0,220.0,60.0,100.0,83.33,21.43
2020-01-05 16:00:00,1136,1.0,250.0,,112.5,81.82,
2020-01-05 16:00:00,1145,1.75,816.75,93.25,379.25,86.69,10.25
2020-01-05 16:00:00,1152,1.0,363.53,156.47,67.53,22.81,30.09
2020-01-05 16:00:00,1205,11.0,5877.38,282.62,3762.85,177.95,4.59
2020-01-05 16:00:00,1213,2.25,1563.39,56.61,854.64,120.58,3.49
2020-01-05 16:00:00,1238,3.0,700.0,50.0,355.0,102.9,6.67
2020-01-05 16:00:00,1295,1.0,518.92,131.08,126.92,32.38,20.17
2020-01-05 16:00:00,1318,8.0,1478.4,121.6,698.4,89.54,7.6
2020-01-05 16:00:00,1326,2.75,1860.0,120.0,911.25,96.05,6.06
2020-01-05 16:00:00,1397,1.0,675.0,75.0,260.0,62.65,10.0
2020-01-05 16:00:00,1474,2.25,1795.83,184.17,787.08,78.03,9.3
2020-01-05 16:00:00,1501,1.0,665.0,35.0,350.0,111.11,5.0
2020-01-05 16:00:00,1509,1.0,195.75,84.25,69.08,54.54,30.09
2020-01-05 16:00:00,1510,1.0,280.0,,150.0,115.38,
2020-01-05 16:00:00,1512,1.0,280.0,,153.33,121.05,
2020-01-05 16:00:00,1549,2.0,1380.0,220.0,580.0,72.5,13.75
2020-01-05 16:00:00,1561,3.75,2010.0,90.0,1135.12,129.75,4.29
2020-01-05 16:00:00,1569,1.0,400.0,,194.3,94.46,
2020-01-05 16:00:00,1582,1.0,960.0,240.0,175.7,22.4,20.0
2020-01-05 16:00:00,1590,2.0,664.0,56.0,272.0,69.39,7.78
2020-01-05 16:00:00,1607,1.0,328.58,141.42,63.58,23.99,30.09
2020-01-05 16:00:00,1620,1.0,251.67,28.33,111.67,79.76,10.12
2020-01-05 16:00:00,1633,1.25,1289.42,210.58,620.67,92.81,14.04
